Node 1 (id), Node 1 (label), Node 1 (longtitude), Node 1 (latitude),Node 2 (id), Node 2 (label), Node 2 (longtitude), Node 2 (latitude),Distance (km), Delay (mks)
0,Lhasa,91.1,29.65,3,Shiquanhe,80.06667,32.51667,612.0751935941611,2956.323185059798
0,Lhasa,91.1,29.65,16,Chengdu,104.06667,30.66667,698.3542650619604,3373.051100249269
0,Lhasa,91.1,29.65,39,Beijing,116.39723,39.9075,1457.5545704062188,7039.988575062037
1,Lanzhou,103.79222,36.05639,18,Xi'an,108.92861,34.25833,290.00397916166725,1400.7192193508529
1,Lanzhou,103.79222,36.05639,39,Beijing,116.39723,39.9075,696.3198449024613,3363.2248508788884
2,Kashi,75.97972,39.45472,33,Urumqi,87.58333,43.8,649.5445959504327,3137.30039844059
3,Shiquanhe,80.06667,32.51667,0,Lhasa,91.1,29.65,612.0751935941611,2956.323185059798
4,Jinan,116.99722,36.66833,8,Shanghai,121.45806,31.22222,384.6241151276478,1857.734476066539
5,Qingdao,120.37194,36.09861,38,Tianjin,117.17667,39.14222,238.55834318329352,1152.2367975753077
6,Taiyuan,112.56028,37.86944,18,Xi'an,108.92861,34.25833,277.7869869318284,1341.7111468807311
6,Taiyuan,112.56028,37.86944,39,Beijing,116.39723,39.9075,230.8722510049729,1115.1129723540191
7,Shilazhuang,114.47861,38.04139,39,Beijing,116.39723,39.9075,144.48606736876044,697.867705391113
8,Shanghai,121.45806,31.22222,4,Jinan,116.99722,36.66833,384.6241151276478,1857.734476066539
8,Shanghai,121.45806,31.22222,9,Suzhou,120.61806,31.31139,45.246575479028365,218.54095956370702
8,Shanghai,121.45806,31.22222,16,Chengdu,104.06667,30.66667,932.3228607544584,4503.119417444034
8,Shanghai,121.45806,31.22222,18,Xi'an,108.92861,34.25833,689.3026766152194,3329.3319280515097
8,Shanghai,121.45806,31.22222,23,Hong Kong,100.51803,30.13062,1124.2691658893716,5430.220071245665
8,Shanghai,121.45806,31.22222,24,Hangzhou,120.16889,30.25528,87.55802411671478,422.9052564837324
8,Shanghai,121.45806,31.22222,25,Wuhan,114.26667,30.58333,387.00064235041754,1869.2131025525168
8,Shanghai,121.45806,31.22222,26,Hefei,117.28083,31.86389,226.32824780049307,1093.1654368763816
8,Shanghai,121.45806,31.22222,27,Nanjing,118.77778,32.06167,150.77627726898547,728.2494192091998
8,Shanghai,121.45806,31.22222,28,Guangzhou,113.25,23.11667,632.2547915775148,3053.790643319396
8,Shanghai,121.45806,31.22222,31,Nandhang,115.88333,28.68333,331.00970147412005,1598.7768581199998
8,Shanghai,121.45806,31.22222,38,Tianjin,117.17667,39.14222,495.32827110132473,2392.4355494193983
8,Shanghai,121.45806,31.22222,39,Beijing,116.39723,39.9075,552.1875674618688,2667.065950840826
9,Suzhou,120.61806,31.31139,8,Shanghai,121.45806,31.22222,45.246575479028365,218.54095956370702
9,Suzhou,120.61806,31.31139,27,Nanjing,118.77778,32.06167,106.90218251266677,516.3375415361805
12,Nanning,108.31667,22.81667,28,Guangzhou,113.25,23.11667,269.3063563292676,1300.7497010703626
13,Changsha,112.96667,28.2,25,Wuhan,114.26667,30.58333,149.81869022672,723.6242737950577
